rewardTime,blockNum,type,mnAddress,balance,reward,nrgPrice
"2021-06-10 13:44:25",656564,M,"",1000.0,3.00,1.60
"2021-03-01 07:59:16",692143,S,"",502.0,2.00,1.60
"2021-03-05 07:56:20","",U,"",1505.0,3.00,1.60
"2021-03-10 07:59:16",692143,S,"",507,2.00,1.60
"2021-03-15 07:56:20","",U,"",1510.0,3.00,1.60
"2021-03-20 07:59:16",692143,S,"",512.0,2.00,1.60
"2021-03-25 07:56:20","",U,"",1515.0,3.00,1.60
"2021-03-30 07:59:16",692143,S,"",517,2.00,1.60
"2021-04-01 07:56:20","",U,"",1520.0,3.00,1.60
"2021-04-05 07:59:16",692143,S,"",522.0,2.00,1.60
"2021-04-10 07:56:20","",U,"",1525.0,3.00,1.60
"2021-04-15 07:59:16",692143,S,"",527,2.00,1.60
"2021-04-20 07:56:20","",U,"",1530.0,3.00,1.60
"2021-04-25 07:59:16",692143,S,"",532.0,2.00,1.60
"2021-04-30 07:56:20","",U,"",1535.0,3.00,1.60
"2021-05-01 07:59:16",692143,S,"",537,2.00,1.60
"2021-05-05 07:56:20","",U,"",1540.0,3.00,1.60
"2021-05-10 07:59:16",692143,S,"",542.0,2.00,1.60
"2021-05-15 07:56:20","",U,"",1545.0,3.00,1.60
"2021-05-20 07:59:16",692143,S,"",547,2.00,1.60
"2021-05-25 07:56:20","",U,"",1550.0,3.00,1.60
"2021-05-30 07:59:16",692143,S,"",552.0,2.00,1.60
"2021-06-01 07:56:20","",U,"",1555.0,3.00,1.60
"2021-06-05 07:59:16",692143,S,"",557,2.00,1.60
"2021-06-10 07:56:20","",U,"",1560.0,3.00,1.60
"2021-06-15 07:59:16",692143,S,"",562.0,2.00,1.60
"2021-06-20 07:56:20","",U,"",1565.0,3.00,1.60
"2021-06-25 07:59:16",692143,S,"",567,2.00,1.60
"2021-06-30 07:56:20","",U,"",1570.0,3.00,1.60
"2021-07-01 07:59:16",692143,S,"",572.0,2.00,1.60
"2021-07-05 07:56:20","",U,"",1575.0,3.00,1.60
"2021-07-10 07:59:16",692143,S,"",577,2.00,1.60
"2021-07-15 07:56:20","",U,"",1580.0,3.00,1.60
